order_id,customer_id,product_id,order_date,quantity,total_amount,discount_code,status
86,273,10,2025-04-18 14:46:58,2,110.9,SAVE20,COMPLETED
87,706,20,2026-03-07 01:53:58,1,308.47,SAVE20,COMPLETED
88,41,28,2025-08-26 08:52:58,1,274.1,HOLIDAY,COMPLETED
89,590,38,2025-03-24 11:28:58,1,223.03,,COMPLETED
90,668,29,2025-08-02 19:13:58,1,449.93,,COMPLETED
91,419,22,2025-08-25 10:42:58,3,352.83,SAVE20,COMPLETED
92,296,43,2025-10-05 06:38:58,1,477.21,WELCOME10,COMPLETED
93,994,50,2025-10-06 06:28:58,5,2369.8,SAVE20,COMPLETED
94,531,24,2026-01-26 05:16:58,1,206.57,,COMPLETED
95,135,19,2025-10-24 12:07:58,1,184.08,HOLIDAY,COMPLETED
96,565,1,2025-12-21 02:41:58,1,22.26,SAVE20,CANCELLED
97,664,10,2025-11-24 11:54:58,1,55.45,SAVE20,COMPLETED
98,484,16,2025-11-02 06:45:58,1,388.8,,COMPLETED
99,809,27,2025-09-04 05:53:58,2,160.02,,COMPLETED
100,602,38,2026-02-14 05:31:58,1,223.03,WELCOME10,COMPLETED
101,782,35,2025-09-23 04:35:58,1,431.78,HOLIDAY,COMPLETED
102,393,15,2025-10-09 14:56:58,2,710.48,SAVE20,RETURNED
103,812,42,2025-05-30 04:38:58,1,84.89,,PENDING
104,451,7,2025-12-08 03:36:58,2,813.24,,RETURNED
105,77,31,2025-07-27 00:15:58,1,54.55,WELCOME10,PENDING
106,880,35,2025-09-24 00:16:58,2,863.56,,COMPLETED
107,71,16,2026-01-31 11:34:58,1,388.8,HOLIDAY,COMPLETED
108,101,49,2026-02-01 12:31:58,1,385.26,HOLIDAY,COMPLETED
109,30,3,2025-08-26 14:54:58,1,52.6,,COMPLETED
110,422,37,2026-02-25 18:46:58,1,386.61,,COMPLETED
111,510,38,2025-05-25 21:05:58,1,223.03,WELCOME10,COMPLETED
112,921,30,2025-08-08 11:10:58,1,498.69,WELCOME10,RETURNED
113,307,41,2025-10-17 11:52:58,1,422.42,,RETURNED
114,874,31,2025-05-06 21:00:58,1,54.55,,COMPLETED
115,850,43,2025-10-01 21:36:58,1,477.21,,COMPLETED
116,853,19,2025-07-09 09:27:58,1,184.08,,COMPLETED
117,774,47,2026-02-14 11:29:58,1,474.01,HOLIDAY,COMPLETED
118,317,29,2025-03-31 07:59:58,2,899.86,WELCOME10,COMPLETED
119,426,12,2025-06-23 18:26:58,1,272.75,,COMPLETED
120,280,11,2025-07-23 05:27:58,1,305.83,,COMPLETED
121,78,10,2025-07-07 11:22:58,1,55.45,,COMPLETED
122,810,26,2025-03-20 22:10:58,1,203.86,,COMPLETED
123,269,38,2025-09-25 09:59:58,1,223.03,SAVE20,COMPLETED
124,906,36,2025-08-28 08:50:58,1,344.04,,COMPLETED
125,419,8,2025-05-23 14:38:58,1,352.09,,COMPLETED
126,909,35,2025-05-22 02:05:58,1,431.78,,COMPLETED
127,159,27,2026-02-11 17:29:58,1,80.01,WELCOME10,COMPLETED
128,380,14,2025-10-27 03:51:58,3,1331.61,HOLIDAY,COMPLETED
129,924,42,2025-09-12 15:01:58,1,84.89,SAVE20,COMPLETED
130,218,42,2026-02-04 08:37:58,1,84.89,,RETURNED
131,806,37,2025-06-26 16:29:58,2,773.22,,COMPLETED
132,891,15,2025-08-28 18:26:58,3,1065.72,WELCOME10,PENDING
133,149,9,2025-12-14 22:27:58,1,115.5,,COMPLETED
134,809,16,2026-01-08 23:37:58,1,388.8,,COMPLETED
135,539,8,2025-04-15 05:04:58,2,704.18,SAVE20,COMPLETED
136,969,40,2025-04-05 13:26:58,3,1371.57,SAVE20,COMPLETED
137,32,4,2025-11-14 02:03:58,1,55.91,,CANCELLED
138,76,6,2025-08-25 08:45:58,1,215.56,,COMPLETED
139,562,46,2025-08-27 02:14:58,1,127.33,,COMPLETED
140,102,45,2025-05-11 10:17:58,3,1395.78,SAVE20,COMPLETED
141,234,27,2025-09-03 04:01:58,1,80.01,WELCOME10,COMPLETED
142,682,17,2025-09-20 18:19:58,3,1303.74,,COMPLETED
143,96,28,2025-05-02 13:23:58,1,274.1,,COMPLETED
144,980,36,2025-12-26 00:18:58,1,344.04,,CANCELLED
145,434,47,2025-04-08 23:14:58,1,474.01,,COMPLETED
146,159,43,2025-11-14 21:30:58,1,477.21,,COMPLETED
147,588,15,2025-10-19 07:25:58,2,710.48,,CANCELLED
148,850,45,2025-07-27 13:47:58,1,465.26,WELCOME10,COMPLETED
149,186,10,2025-12-28 11:01:58,1,55.45,,COMPLETED
150,221,25,2025-10-14 03:57:58,1,439.42,,COMPLETED
151,965,37,2026-01-12 16:32:58,1,386.61,,COMPLETED
152,84,18,2025-10-26 11:03:58,1,321.49,SAVE20,COMPLETED
153,774,33,2025-05-11 01:03:58,1,302.24,,COMPLETED
154,47,15,2025-10-02 08:39:58,1,355.24,,COMPLETED
155,783,17,2025-08-08 23:43:58,1,434.58,,COMPLETED
156,546,46,2025-07-09 06:11:58,2,254.66,,COMPLETED
157,760,3,2025-10-22 14:05:58,3,157.8,,COMPLETED
158,415,46,2026-02-04 02:54:58,1,127.33,WELCOME10,COMPLETED
159,971,40,2025-11-04 12:34:58,1,457.19,,COMPLETED
160,604,26,2025-12-06 16:01:58,3,611.58,,COMPLETED
161,173,5,2025-11-30 09:43:58,1,23.0,WELCOME10,COMPLETED
162,982,42,2025-05-27 20:42:58,1,84.89,,COMPLETED
163,779,49,2026-02-11 15:47:58,4,1541.04,SAVE20,COMPLETED
164,779,38,2025-10-29 11:35:58,3,669.09,,COMPLETED
165,451,5,2025-11-09 04:16:58,1,23.0,,COMPLETED
166,520,5,2025-08-19 04:04:58,1,23.0,WELCOME10,COMPLETED
167,885,6,2026-01-22 09:08:58,1,215.56,SAVE20,CANCELLED
168,586,42,2025-06-18 00:14:58,1,84.89,,COMPLETED
169,831,22,2026-03-13 16:08:58,1,117.61,,COMPLETED
170,450,34,2025-12-06 08:46:58,1,498.1,SAVE20,COMPLETED
171,347,44,2026-01-13 15:26:58,1,303.48,,COMPLETED
172,572,44,2025-09-26 22:52:58,2,606.96,WELCOME10,COMPLETED
173,680,10,2025-09-08 23:17:58,1,55.45,,COMPLETED
174,961,6,2025-08-19 07:00:58,1,215.56,,COMPLETED
175,849,48,2026-02-27 05:41:58,1,409.85,,COMPLETED
176,372,20,2025-06-13 19:57:58,3,925.41,,COMPLETED
177,141,10,2025-04-21 23:30:58,2,110.9,HOLIDAY,COMPLETED
178,785,40,2025-05-20 09:00:58,1,457.19,HOLIDAY,COMPLETED
179,829,11,2025-10-23 15:02:58,1,305.83,SAVE20,COMPLETED
180,771,48,2025-10-28 21:10:58,1,409.85,,COMPLETED
181,970,37,2025-10-25 04:25:58,1,386.61,,COMPLETED
182,990,11,2025-06-24 08:44:58,3,917.49,HOLIDAY,COMPLETED
183,381,36,2025-05-05 12:30:58,1,344.04,WELCOME10,COMPLETED
184,165,18,2025-10-30 05:45:58,2,642.98,,COMPLETED
185,906,23,2025-03-27 02:39:58,1,122.23,,COMPLETED
186,84,24,2025-07-05 13:56:58,3,619.71,,COMPLETED
187,294,31,2026-03-04 18:24:58,2,109.1,,COMPLETED
188,82,2,2025-07-22 20:29:58,1,78.37,,COMPLETED
189,244,20,2025-05-14 14:51:58,1,308.47,,COMPLETED
190,927,32,2026-01-13 06:37:58,1,84.89,HOLIDAY,COMPLETED
191,440,1,2026-01-22 00:51:58,1,22.26,HOLIDAY,COMPLETED
192,537,24,2025-04-17 06:10:58,1,206.57,SAVE20,PENDING
193,45,41,2025-09-28 00:52:58,2,844.84,,COMPLETED
194,751,43,2026-01-28 17:25:58,1,477.21,,COMPLETED
195,560,22,2026-02-05 19:29:58,2,235.22,,COMPLETED
196,187,9,2025-04-15 12:25:58,3,346.5,WELCOME10,COMPLETED
197,811,13,2025-04-04 00:35:58,1,48.61,,COMPLETED
198,38,49,2026-02-07 19:54:58,1,385.26,HOLIDAY,COMPLETED
199,128,24,2025-10-23 02:23:58,1,206.57,WELCOME10,RETURNED
200,509,45,2025-11-23 01:35:58,2,930.52,,COMPLETED
201,81,28,2026-01-15 19:10:58,1,274.1,,COMPLETED
202,303,20,2025-10-28 09:21:58,1,308.47,WELCOME10,COMPLETED
203,745,23,2026-01-22 02:53:58,1,122.23,,COMPLETED
204,416,24,2025-12-01 13:19:58,1,206.57,,COMPLETED
205,695,29,2025-03-30 17:40:58,1,449.93,WELCOME10,COMPLETED
206,581,3,2026-01-16 18:19:58,1,52.6,WELCOME10,COMPLETED
207,79,37,2025-05-23 05:59:58,1,386.61,,RETURNED
208,27,48,2025-06-17 05:09:58,1,409.85,WELCOME10,COMPLETED
209,721,29,2025-07-01 08:54:58,1,449.93,,COMPLETED
210,874,5,2025-10-30 19:33:58,2,46.0,HOLIDAY,RETURNED
211,328,43,2025-09-07 11:40:58,1,477.21,WELCOME10,PENDING
212,729,46,2026-03-07 09:47:58,2,254.66,,RETURNED
213,812,9,2025-07-13 04:37:58,1,115.5,SAVE20,COMPLETED
214,565,9,2026-01-20 15:40:58,1,115.5,,COMPLETED
215,420,37,2025-04-19 17:56:58,1,386.61,SAVE20,COMPLETED
216,353,9,2025-12-21 10:13:58,1,115.5,SAVE20,COMPLETED
217,890,4,2025-05-16 05:45:58,1,55.91,WELCOME10,CANCELLED
218,231,23,2025-12-03 23:30:58,1,122.23,HOLIDAY,RETURNED
219,282,9,2026-01-27 23:15:58,1,115.5,,CANCELLED
220,158,11,2026-02-14 09:22:58,3,917.49,,COMPLETED
221,885,2,2025-04-23 15:17:58,2,156.74,,COMPLETED
222,586,27,2026-01-24 09:37:58,1,80.01,,RETURNED
223,495,16,2026-02-27 01:55:58,1,388.8,,COMPLETED
224,496,30,2025-06-26 00:14:58,1,498.69,,RETURNED
225,354,26,2025-05-19 01:08:58,1,203.86,,COMPLETED
226,274,29,2025-07-17 17:42:58,1,449.93,,COMPLETED
227,986,11,2025-08-28 08:22:58,1,305.83,SAVE20,RETURNED
228,479,32,2025-08-18 04:37:58,1,84.89,,COMPLETED
229,247,14,2026-01-06 00:39:58,1,443.87,,PENDING
230,670,44,2025-11-08 23:10:58,1,303.48,SAVE20,COMPLETED
231,271,47,2025-09-17 01:59:58,1,474.01,,COMPLETED
232,372,36,2025-08-07 16:00:58,1,344.04,,COMPLETED
233,122,9,2025-05-02 01:59:58,2,231.0,,CANCELLED
234,774,10,2025-06-23 09:08:58,1,55.45,,COMPLETED
235,731,22,2025-11-11 06:05:58,1,117.61,WELCOME10,CANCELLED
236,327,11,2025-10-01 09:23:58,2,611.66,,COMPLETED
237,546,32,2026-03-11 07:55:58,1,84.89,WELCOME10,COMPLETED
238,113,27,2026-01-05 23:26:58,3,240.03,,COMPLETED
239,991,42,2026-01-04 07:50:58,2,169.78,,COMPLETED
240,739,40,2025-09-23 18:28:58,1,457.19,,CANCELLED
241,113,13,2025-03-23 03:56:58,1,48.61,,COMPLETED
242,514,50,2026-01-21 05:31:58,2,947.92,HOLIDAY,COMPLETED
243,213,36,2025-08-27 11:06:58,1,344.04,,COMPLETED
244,546,22,2025-12-18 01:19:58,2,235.22,,COMPLETED
245,981,16,2025-08-03 06:55:58,1,388.8,WELCOME10,COMPLETED
246,707,46,2025-11-19 00:06:58,1,127.33,WELCOME10,COMPLETED
247,693,35,2025-09-24 02:28:58,1,431.78,WELCOME10,COMPLETED
248,979,46,2025-04-23 01:35:58,1,127.33,,COMPLETED
249,207,35,2025-07-30 07:20:58,1,431.78,,COMPLETED
250,246,16,2025-04-08 11:33:58,1,388.8,,COMPLETED
251,339,46,2025-11-09 17:19:58,2,254.66,,RETURNED
252,162,27,2026-02-11 05:06:58,1,80.01,WELCOME10,COMPLETED
253,61,50,2025-04-28 10:12:58,1,473.96,,COMPLETED
254,858,12,2025-04-01 02:26:58,1,272.75,,COMPLETED
255,582,39,2025-05-06 23:54:58,1,486.23,,PENDING
256,480,18,2025-06-19 16:57:58,1,321.49,,COMPLETED
257,191,1,2025-09-01 23:12:58,1,22.26,,COMPLETED
258,655,26,2025-10-18 05:56:58,1,203.86,,RETURNED
259,489,21,2025-07-18 13:52:58,1,90.07,WELCOME10,RETURNED
260,310,38,2025-12-31 13:52:58,1,223.03,,COMPLETED
261,477,20,2025-06-03 02:19:58,1,308.47,,COMPLETED
262,939,19,2025-09-18 08:50:58,1,184.08,SAVE20,COMPLETED
263,766,39,2025-09-21 03:20:58,1,486.23,,COMPLETED
264,846,14,2025-07-18 11:24:58,1,443.87,,COMPLETED
265,721,24,2025-04-22 07:43:58,1,206.57,,COMPLETED
266,169,21,2025-12-05 03:43:58,1,90.07,,PENDING
267,457,4,2025-10-31 18:08:58,1,55.91,,COMPLETED
268,827,20,2025-03-25 01:52:58,2,616.94,,COMPLETED
269,434,23,2026-03-06 16:10:58,5,611.15,SAVE20,COMPLETED
270,419,12,2025-05-22 10:22:58,1,272.75,WELCOME10,RETURNED
271,392,29,2025-09-23 01:41:58,1,449.93,HOLIDAY,PENDING
272,122,12,2025-12-14 02:09:58,1,272.75,,COMPLETED
273,306,30,2026-02-21 13:10:58,1,498.69,,COMPLETED
274,355,10,2025-08-01 20:35:58,3,166.35,,COMPLETED
275,430,40,2025-03-21 20:49:58,1,457.19,SAVE20,COMPLETED
276,721,4,2025-07-17 12:38:58,1,55.91,,COMPLETED
277,885,50,2025-04-10 18:08:58,5,2369.8,HOLIDAY,COMPLETED
278,592,39,2026-02-20 23:51:58,1,486.23,HOLIDAY,COMPLETED
279,424,20,2025-07-31 15:11:58,3,925.41,HOLIDAY,COMPLETED
280,570,32,2025-04-07 01:17:58,1,84.89,,COMPLETED
281,153,20,2025-09-21 19:24:58,1,308.47,,COMPLETED
282,725,10,2025-11-05 15:11:58,1,55.45,,COMPLETED
283,398,16,2025-07-21 19:57:58,1,388.8,WELCOME10,COMPLETED
284,742,13,2025-04-08 22:00:58,1,48.61,,COMPLETED
285,780,38,2026-02-20 06:49:58,1,223.03,WELCOME10,RETURNED
286,16,14,2025-06-19 12:43:58,2,887.74,,COMPLETED
287,721,14,2025-10-02 21:11:58,1,443.87,SAVE20,COMPLETED
288,665,23,2025-08-17 21:59:58,1,122.23,SAVE20,COMPLETED
289,740,31,2025-08-23 19:59:58,1,54.55,,PENDING
290,760,10,2025-03-21 22:11:58,3,166.35,WELCOME10,COMPLETED
291,338,15,2025-09-24 08:29:58,1,355.24,WELCOME10,COMPLETED
292,501,47,2026-02-05 13:07:58,1,474.01,,COMPLETED
293,560,32,2025-06-16 07:17:58,4,339.56,,CANCELLED
294,685,4,2025-03-17 02:44:58,2,111.82,,COMPLETED
295,10,14,2025-11-27 03:59:58,1,443.87,,COMPLETED
296,7,35,2025-12-21 02:36:58,1,431.78,,RETURNED
297,18,33,2026-03-06 11:03:58,2,604.48,,CANCELLED
298,537,10,2025-07-14 20:15:58,1,55.45,WELCOME10,COMPLETED
299,81,24,2025-10-07 04:12:58,1,206.57,WELCOME10,COMPLETED
300,869,6,2026-02-11 10:24:58,1,215.56,SAVE20,COMPLETED
301,488,4,2026-02-02 14:20:58,1,55.91,SAVE20,COMPLETED
302,340,37,2025-05-01 06:34:58,1,386.61,HOLIDAY,PENDING
303,487,18,2025-04-05 16:19:58,3,964.47,,CANCELLED
304,323,2,2025-06-28 07:45:58,2,156.74,,COMPLETED
305,578,16,2025-12-29 02:19:58,3,1166.4,SAVE20,COMPLETED
306,144,45,2025-04-23 06:23:58,4,1861.04,,COMPLETED
307,859,5,2025-09-04 09:25:58,1,23.0,WELCOME10,COMPLETED
308,280,29,2025-11-19 20:58:58,1,449.93,SAVE20,COMPLETED
309,600,43,2025-09-23 16:25:58,1,477.21,HOLIDAY,COMPLETED
310,275,10,2025-09-24 12:26:58,1,55.45,WELCOME10,COMPLETED
311,94,1,2025-08-18 03:59:58,2,44.52,,COMPLETED
312,442,29,2025-12-24 07:08:58,1,449.93,,COMPLETED
313,96,39,2026-01-14 00:31:58,1,486.23,SAVE20,COMPLETED
314,87,47,2025-12-24 21:12:58,1,474.01,,COMPLETED
315,309,18,2025-11-20 17:40:58,1,321.49,SAVE20,COMPLETED
316,802,5,2025-09-13 21:51:58,2,46.0,,COMPLETED
317,469,7,2025-05-21 22:36:58,3,1219.86,,COMPLETED
318,883,22,2025-10-25 00:03:58,2,235.22,WELCOME10,COMPLETED
319,971,45,2025-06-24 04:56:58,1,465.26,WELCOME10,COMPLETED
320,712,41,2025-11-20 08:26:58,1,422.42,WELCOME10,COMPLETED
321,403,24,2025-05-11 07:48:58,1,206.57,HOLIDAY,COMPLETED
322,28,47,2025-11-05 11:49:58,1,474.01,,COMPLETED
323,869,27,2026-02-21 04:44:58,1,80.01,WELCOME10,COMPLETED
324,733,28,2025-09-22 16:04:58,5,1370.5,,COMPLETED
325,519,45,2025-10-14 06:38:58,2,930.52,,PENDING
326,550,39,2026-02-02 15:42:58,2,972.46,,COMPLETED
327,46,37,2026-02-07 11:17:58,1,386.61,SAVE20,COMPLETED
328,101,17,2025-07-05 06:23:58,1,434.58,SAVE20,COMPLETED
329,475,50,2026-02-24 08:20:58,1,473.96,,COMPLETED
330,303,27,2025-04-25 17:29:58,3,240.03,WELCOME10,COMPLETED
331,467,14,2025-12-05 04:58:58,1,443.87,,COMPLETED
332,327,5,2025-08-13 15:27:58,2,46.0,WELCOME10,COMPLETED
333,694,11,2025-07-16 05:47:58,1,305.83,,COMPLETED
334,474,15,2025-10-07 09:47:58,1,355.24,SAVE20,COMPLETED
335,629,13,2025-10-30 08:03:58,1,48.61,,COMPLETED
336,721,5,2026-01-02 17:27:58,3,69.0,WELCOME10,COMPLETED
337,469,8,2025-07-26 11:31:58,1,352.09,,COMPLETED
338,402,38,2025-05-11 00:58:58,2,446.06,HOLIDAY,COMPLETED
339,305,40,2026-01-09 16:19:58,1,457.19,,COMPLETED
340,188,24,2026-03-03 18:08:58,1,206.57,,COMPLETED
341,191,32,2026-02-02 07:20:58,3,254.67,,COMPLETED
342,296,9,2025-06-17 00:29:58,1,115.5,WELCOME10,RETURNED
343,497,9,2025-06-21 02:11:58,1,115.5,SAVE20,COMPLETED
344,426,46,2025-10-27 04:46:58,1,127.33,,COMPLETED
345,282,15,2025-12-13 22:46:58,2,710.48,,COMPLETED
346,587,8,2025-07-29 07:28:58,5,1760.45,HOLIDAY,COMPLETED
347,224,28,2025-05-05 13:29:58,1,274.1,WELCOME10,PENDING
348,34,29,2025-07-26 01:31:58,2,899.86,,COMPLETED
349,243,14,2026-01-09 11:58:58,3,1331.61,,COMPLETED
350,804,14,2025-06-26 15:12:58,1,443.87,,COMPLETED
351,332,46,2025-08-09 23:12:58,1,127.33,,RETURNED
352,805,27,2025-04-12 22:31:58,1,80.01,,COMPLETED
353,330,16,2026-02-23 02:07:58,1,388.8,,COMPLETED
354,463,5,2026-01-31 16:01:58,1,23.0,,CANCELLED
355,378,30,2025-11-18 00:13:58,1,498.69,HOLIDAY,RETURNED
356,651,43,2026-03-06 01:30:58,1,477.21,,RETURNED
357,845,14,2025-11-21 21:56:58,2,887.74,,COMPLETED
358,580,32,2025-09-05 11:24:58,1,84.89,HOLIDAY,COMPLETED
359,471,2,2025-05-15 19:04:58,1,78.37,,RETURNED
360,932,9,2026-02-08 22:46:58,3,346.5,,COMPLETED
361,257,6,2025-09-20 11:33:58,1,215.56,SAVE20,COMPLETED
362,744,45,2025-07-11 03:17:58,1,465.26,,COMPLETED
363,80,9,2026-01-10 21:09:58,1,115.5,,COMPLETED
364,837,8,2025-10-16 11:44:58,1,352.09,SAVE20,COMPLETED
365,826,7,2025-05-04 23:59:58,3,1219.86,SAVE20,COMPLETED
366,772,9,2026-02-05 10:45:58,1,115.5,,COMPLETED
367,451,23,2025-07-01 10:23:58,1,122.23,,COMPLETED
368,881,14,2025-04-26 16:44:58,2,887.74,WELCOME10,RETURNED
369,323,9,2025-07-17 22:17:58,1,115.5,,COMPLETED
370,868,43,2025-08-14 20:09:58,1,477.21,HOLIDAY,COMPLETED
371,662,4,2025-07-14 05:00:58,1,55.91,,COMPLETED
372,541,1,2025-09-13 23:44:58,1,22.26,WELCOME10,COMPLETED
373,177,49,2025-11-09 15:37:58,1,385.26,WELCOME10,COMPLETED
374,945,4,2025-10-03 05:54:58,1,55.91,SAVE20,COMPLETED
375,85,41,2025-12-13 07:15:58,1,422.42,WELCOME10,COMPLETED
376,944,14,2025-06-01 06:56:58,1,443.87,WELCOME10,COMPLETED
377,748,16,2025-04-11 20:41:58,3,1166.4,SAVE20,COMPLETED
378,57,20,2026-02-18 13:18:58,2,616.94,,COMPLETED
379,719,1,2025-06-05 04:58:58,1,22.26,,COMPLETED
380,768,50,2025-07-29 13:32:58,1,473.96,WELCOME10,COMPLETED
381,279,34,2025-04-14 22:21:58,4,1992.4,SAVE20,COMPLETED
382,369,4,2025-11-24 07:46:58,1,55.91,,PENDING
383,691,47,2025-05-11 21:23:58,1,474.01,,COMPLETED
384,484,24,2025-09-25 17:47:58,3,619.71,,COMPLETED
385,732,48,2026-02-12 02:50:58,1,409.85,,COMPLETED
386,846,5,2025-12-31 00:43:58,1,23.0,,COMPLETED
387,529,3,2025-10-04 16:32:58,1,52.6,WELCOME10,COMPLETED
388,567,30,2025-03-18 00:48:58,1,498.69,,COMPLETED
389,476,24,2026-01-10 05:25:58,2,413.14,,COMPLETED
390,420,2,2025-07-11 06:58:58,1,78.37,WELCOME10,COMPLETED
391,674,25,2025-08-17 16:49:58,1,439.42,SAVE20,COMPLETED
392,62,10,2026-03-12 21:41:58,1,55.45,,COMPLETED
